,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,Movie or Show
0,White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82.0,80,Movie
1,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82,Movie
14,The Hunter,R,language and brief violence,100,2011,,82,Movie
19,The 100,NR,This movie has not been rated.,124,2016,97.0,80,Movie
22,Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,,82,Movie
23,Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57.0,80,Movie
35,Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,,82,Movie
37,"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,,82,Movie
38,White Girl,UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016,,82,Movie
46,Stronger Than the World,NR,,124,2016,,82,Movie
47,Back and Forth,NR,This movie has not been rated.,124,2016,,82,Movie
50,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82,Movie
76,The 100,NR,This movie has not been rated.,124,2016,97.0,80,Movie
86,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80,Movie
87,Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79.0,80,Movie
88,Finding Dory,PG,mild thematic elements,60,2016,98.0,80,Movie
90,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91.0,80,Movie
91,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80,Movie
92,Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97.0,80,Movie
100,The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,,82,Movie
101,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82,Movie
117,5 to 7,R,some sexual material,100,2014,,82,Movie
149,Almost Adults,NR,This movie has not been rated.,124,2016,,82,Movie
150,The Brothers,R,strong sexual content and language,100,2001,,82,Movie
170,Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80,Movie
180,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80,Movie
184,Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,,81,Movie
191,Honeytrap,NR,This movie has not been rated.,124,2014,,82,Movie
194,Like Cotton Twines,NR,,124,2016,,82,Movie
199,Almost Adults,NR,This movie has not been rated.,124,2016,,82,Movie
200,Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,,82,Movie
217,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,,82,Movie
218,5 to 7,R,some sexual material,100,2014,,82,Movie
236,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69.0,80,Movie
245,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79.0,80,Movie
249,Almost Adults,NR,This movie has not been rated.,124,2016,,82,Movie
250,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82.0,80,Movie
251,10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68.0,80,Movie
252,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86.0,80,Movie
253,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56.0,80,Movie
254,The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77.0,80,Movie
255,Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64.0,80,Movie
257,Twilight,PG-13,some violence and one sexual scene,80,2008,89.0,80,Movie
258,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80,Movie
259,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56.0,80,Movie
273,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,,82,Movie
286,Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62.0,80,Movie
293,Finding Dory,PG,mild thematic elements,60,2016,98.0,80,Movie
300,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82.0,80,Movie
301,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86.0,80,Movie
302,The Wedding Planner,PG-13,language and some sexual humor,80,2001,,82,Movie
303,Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78.0,80,Movie
306,Twilight,PG-13,some violence and one sexual scene,80,2008,89.0,80,Movie
307,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56.0,80,Movie
322,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,,82,Movie
334,Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77.0,80,Movie
335,Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63.0,80,Movie
340,Home,PG,mild action and some rude humor,60,2015,94.0,80,Movie
342,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80,Movie
343,Finding Dory,PG,mild thematic elements,60,2016,98.0,80,Movie
344,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91.0,80,Movie
372,Unconditional,PG-13,some violent content and mature thematic elements,80,2012,,82,Movie
378,The 100,NR,This movie has not been rated.,124,2016,97.0,80,Movie
381,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80,Movie
431,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80,Movie
448,I.T,NR,,124,2016,,82,Movie
500,The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80,Movie
501,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80,Movie
502,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80,Movie
503,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82,Movie
504,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80,Movie
505,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80,Movie
506,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82,Movie
507,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82,Movie
529,Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82,Movie
534,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,,82,Movie
542,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80,Movie
543,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80,Movie
544,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81,Movie
546,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82,Movie
550,The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80,Movie
551,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80,Movie
552,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80,Movie
553,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80,Movie
554,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80,Movie
570,Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,,82,Movie
573,Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80,Movie
575,Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,,82,Movie
581,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,,82,Movie
598,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82,Movie
599,Growing Up Wild,G,,35,2016,80.0,80,Movie
600,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80,Movie
601,Flubber,PG,slapstick action and mild language,60,1997,83.0,80,Movie
602,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80,Movie
603,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80,Movie
604,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80,Movie
605,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80,Movie
606,Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80,Movie
607,The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,,82,Movie
608,Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,,82,Movie
609,The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80,Movie
610,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80,Movie
611,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82,Movie
612,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80,Movie
613,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80,Movie
614,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80,Movie
623,Home,PG,mild action and some rude humor,60,2015,94.0,80,Movie
629,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80,Movie
632,Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80,Movie
633,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80,Movie
634,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80,Movie
635,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80,Movie
637,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80,Movie
638,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82,Movie
639,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80,Movie
640,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80,Movie
641,Finding Dory,PG,mild thematic elements,60,2016,98.0,80,Movie
642,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81,Movie
650,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80,Movie
651,Antz,PG,moderate adult language and intense action,60,1998,80.0,80,Movie
652,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80,Movie
653,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80,Movie
